5
Id,Age,math,science,malay
0,1,1,1,1
40
11920100,19,93,92,87
11920101,20,45,78,78
11920102,21,98,78,98
11920103,22,56,45,79
11920104,18,34,78,59
11920105,18,56,78,90
11920106,19,90,89,99
11920107,20,100,98,98
11920108,21,88,76,67
11920109,21,34,56,78
11920110,22,87,76,65
11920111,19,90,89,56
11920112,18,67,45,67
11920113,19,88,72,64
11920114,21,67,58,99
11920115,22,81,54,71
11920116,21,41,67,89
11920117,21,56,78,98
11920118,20,67,89,77
11920119,21,67,89,45
11920120,22,70,70,98
11920121,21,89,98,100
11920122,20,67,56,34
11920123,19,56,98,34
11920124,19,34,67,78
11920125,19,45,67,89
11920126,20,90,23,56
11920127,20,76,78,98
11920128,20,67,98,90
11920129,21,56,78,45
11920130,21,34,56,98
11920131,22,100,45,67
11920132,23,34,67,89
11920133,21,23,45,78
11920134,19,45,77,88
11920135,21,34,67,66
11920136,22,90,73,92
11920137,19,56,23,69
11920138,21,100,56,78
11920139,19,55,88,99
